"table_names","table_columns","table_column_types"
"AuthAssignment","itemname","character varying(64) NOT NULL"
"AuthAssignment","userid","character varying(64) NOT NULL"
"AuthAssignment","bizrule","text"
"AuthAssignment","data","text"
"AuthItem","name","character varying(64) NOT NULL"
"AuthItem","type","integer NOT NULL"
"AuthItem","description","text"
"AuthItem","bizrule","text"
"AuthItem","data","text"
"YiiSession","id","character(32) NOT NULL"
"YiiSession","expire","integer"
"YiiSession","data","bytea"
"user_command","id","integer NOT NULL"
"user_command","action_label","character varying(32) NOT NULL"
"user_command","requester_id","integer NOT NULL"
"user_command","actioner_id","integer"
"user_command","actionable_id","integer NOT NULL"
"user_command","request_date","timestamp"
"user_command","action_date","timestamp"
"user_command","status","character varying(32) NOT NULL"
"alternative_identifiers","id","integer NOT NULL"
"alternative_identifiers","sample_id","integer NOT NULL"
"alternative_identifiers","extdb_id","integer NOT NULL"
"alternative_identifiers","extdb_accession","character varying(100)"
"attribute","id","integer NOT NULL"
"attribute","attribute_name","character varying(100)"
"attribute","definition","character varying(1000)"
"attribute","model","character varying(100)"
"attribute","structured_comment_name","character varying(100)"
"attribute","value_syntax","character varying(500)"
"attribute","allowed_units","character varying(100)"
"attribute","occurance","character varying(5)"
"attribute","ontology_link","character varying(1000)"
"attribute","note","character varying(100)"
"author","id","integer NOT NULL"
"author","surname","character varying(255) NOT NULL"
"author","middle_name","character varying(255)"
"author","first_name","character varying(255)"
"author","custom_name","character varying(255)"
"author","orcid","character varying(255)"
"author","gigadb_user_id","integer UNIQUE"
"author_rel","id","integer NOT NULL"
"author_rel","author_id","integer NOT NULL"
"author_rel","related_author_id","integer NOT NULL"
"author_rel","relationship_id","integer"
"dataset","id","integer NOT NULL"
"dataset","submitter_id","integer NOT NULL"
"dataset","image_id","integer"
"dataset","curator_id","integer"
"dataset","manuscript_id","character varying(50)"
"dataset","identifier","character varying(32) NOT NULL"
"dataset","title","character varying(300) NOT NULL"
"dataset","description","text DEFAULT ''::text NOT NULL"
"dataset","dataset_size","bigint NOT NULL"
"dataset","ftp_site","character varying(100) NOT NULL"
"dataset","upload_status","character varying(45) DEFAULT 'Pending'::character varying NOT NULL"
"dataset","excelfile","character varying(50)"
"dataset","excelfile_md5","character varying(32)"
"dataset","publication_date","date"
"dataset","modification_date","date"
"dataset","publisher_id","integer"
"dataset","token","character varying(16) DEFAULT NULL::character varying"
"dataset","fairnuse","date"
"dataset_attributes","id","integer NOT NULL"
"dataset_attributes","dataset_id","integer"
"dataset_attributes","attribute_id","integer"
"dataset_attributes","value","character varying(200)"
"dataset_attributes","units_id","character varying(30)"
"dataset_attributes","image_id","integer"
"dataset_attributes","until_date","date"
